"",,,,,,,,,,,,,,,,,,,,,,,
Beef,,,,,,,,,,,,,,,,,,,,,,,
"",Frappe Large (Caramel),418,1783,10.7,73.1,45.8,9.1,1.7,0.2,4.9,0.7,0.208,5,4,5,5,5,5,5,4,5,5,5,4
"",Frappe Regular (Chocolate flavour),326.8,1379,8.5,53.3,44.6,8.2,1.2,0.2,4.7,E3n.e2rgy,(kc0a.1l)02,5,4,4,5,5,5,5,4,5,5,5,4
"",Frappe Large (Chocolate flavour),407.6,1721,11.2,68.1,57.2,9.2,1.2,0.2,5,4.2,0.134,5,4,4,5,5,5,5,4,5,5,5,4
"",Smoothie Regular (Strawberry banana),206.2,875,1.9,48.1,45.3,0.5,0,0,0.3,0.7,0.007,5,4,5,5,5,5,5,4,5,5,5,4
"",Smoothie Large (Strawberry banana),278.5,1183,1.9,65.5,60.9,0.8,0.2,0,0.1,1,0.008,5,4,5,5,5,5,5,4,5,5,5,4
"",Smoothie Regular (Tropical mango),220.8,938,1.3,52,49.6,0.7,0.1,0,0.3,0.9,0.005,5,4,5,5,5,5,5,4,5,5,5,4
"",Smoothie Large (Tropical mango),294.9,1253,1.9,69.3,66,1,0.2,0,0.5,P1r.o2tein,(g)0.007,5,4,5,5,5,5,5,4,5,5,5,4
"",Drinks,,,,,,,,,,,,,,,,,,,,,,,
"",SOFTDRINKS,,,,,,,,,,,,,,,,,,,,,,,
"",Regular Coca-Cola,168,720,0,42.4,42.4,0,0,0,0,Ca0rboh,drat0e (g),5,5,5,5,5,5,5,4,5,5,5,5
"",Large Coca-Cola,210,900,0,53,53,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Super Coca-Cola,315,1350,0,79.5,79.5,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Kids Coca-Cola,126,540,0,31.8,31.8,0,0,0,0,0,0,5,5,5,5,5,5,5,4,5,5,5,5
"",Regular Diet Coke,1,4,0,0,0,0,0,0,0,0,0.120,5,5,5,5,5,5,5,4,5,5,5,5
"",Large Diet Coke,1.3,5,0,0,0,0,0,0,0,Fa0t (g),0.150,5,5,5,5,5,5,5,4,5,5,5,5
"",Super Diet Coke,1.9,8,0,0,0,0,0,0,0,0,0.225,5,5,5,5,5,5,5,4,5,5,5,5
"",Kids Diet Coke,0.8,3,0,0,0,0,0,0,0,0,0.09,5,5,5,5,5,5,5,4,5,5,5,5
